"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","regulation","Group","Comparison"
"WASH7P",171.25519282607,0.040846033638069,0.174497207293002,0.234078437539024,0.814924085305694,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"WASH9P",113.921354087377,0.0900860516933319,0.288658635044712,0.312085074743661,0.754975869100477,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"MIR12136",82.6974268024696,-0.0994821101267298,0.374402914936758,-0.265708695519995,0.790463565997271,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LOC100288069",67.1802179147389,0.177616713438805,0.260181186537205,0.682665475558534,0.494818250199515,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LINC00115",21.3750960086361,0.210329765095709,0.478044170699845,0.439979771718147,0.659951758119326,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LINC01128",188.424848325342,-0.135082384936747,0.173291240915058,-0.779510748630163,0.435678908393481,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LOC284600",43.1524751601753,-0.0810148847993136,0.532253406273589,-0.152211115691142,0.879020427065192,0.998056692297344,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LINC02593",12.7355338629151,0.622454350504504,0.590682289431267,1.0537887484384,0.291979645976744,0.968736243385417,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LOC107985728",29.3646584901544,1.34671600619858,0.419783655915237,3.2081191995491,0.00133606110967863,0.271787209732244,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"SAMD11",487.844449120122,0.669694839095744,0.480055715058328,1.39503565542257,0.16300508777004,0.949128060869812,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"NOC2L",1768.59401259572,-0.117185262595573,0.0783733908445512,-1.49521746262074,0.134857697538323,0.923200505016134,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"KLHL17",191.714675341806,0.16674474133132,0.197284086015756,0.845201175111521,0.397998526351099,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"PLEKHN1",165.701534669182,-0.048810315750706,0.176899563048717,-0.275921064526676,0.782608694562482,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"HES4",1213.32675577538,0.415983118698585,0.197016703942442,2.11141040518125,0.0347370514846188,0.797699229893976,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"ISG15",13769.0731470746,0.384548963163855,0.224865103909403,1.71013179225349,0.0872415049989946,0.896887043720329,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"AGRN",16362.0569526807,0.296893709429513,0.124474519776026,2.38517658042571,0.0170709252239534,0.663085548641525,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LOC100288175",220.870882405099,-0.0576927581960011,0.167495154806924,-0.34444434086768,0.730512147391599,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LOC105378948",17.9238738809486,-0.662213496001834,0.475015195177656,-1.39408907909602,0.163290706609496,0.949128060869812,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"RNF223",12.0096315204062,0.438962700154193,0.722634693279648,0.607447586223654,0.543553916496351,0.996129192385104,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"C1orf159",196.921449878763,0.186087653907367,0.156349327228526,1.1902043789122,0.233966072522901,0.966470423353397,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"SDF4",2872.30284533631,0.0671194701265494,0.0965116211684965,0.695454799265755,0.486770328621577,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"B3GALT6",364.246827115778,0.317125680802222,0.120887415057406,2.6233142685004,0.00870789086848959,0.52555791674233,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"UBE2J2",693.27198631207,-0.0861888035348877,0.13524340581227,-0.637286550255364,0.523938210097932,0.993684204407797,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"LINC01786",15.360954715392,0.529821810053587,0.506637503284958,1.04576113418037,0.295671329479474,0.970649877724222,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"SCNN1D",36.0597485894753,-0.101030933035118,0.337396228268753,-0.299442982968506,0.764602070119457,0.996645900110187,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"ACAP3",323.948457477381,-0.145092192829623,0.173602591122833,-0.835772046322526,0.403283155221091,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"PUSL1",159.002534564591,-0.240392430821964,0.175189973082508,-1.37218144732946,0.170006959451353,0.949128060869812,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"INTS11",934.982531955902,-0.0813769495555175,0.0959555825877948,-0.848068943576696,0.396399576169301,0.992859472105535,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"CPTP",273.691468554033,0.0660457195613602,0.124119571242471,0.532113661852233,0.594647275740986,0.996219315932303,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
"DVL1",1224.77042042159,-0.155616146707682,0.0983581707066251,-1.58213746341259,0.113618192842537,0.922501138988417,FALSE,"NS","Group1_AHT_None_vs_AHT_CIM7","AHT_CIM7 vs AHT_None"
