"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042026","protein refolding","2/9","27/18805",0.0740740740740741,154.77366255144,17.4965664678126,7.10265553870543e-05,0.0169457832150396,0.0105132615653436,"HSPA6/HSPA1A",2
"GO:0051085","chaperone cofactor-dependent protein refolding","2/9","32/18805",0.0625,130.590277777778,16.0544054828374,0.000100243491786584,0.0169457832150396,0.0105132615653436,"HSPA6/HSPA1A",2
"GO:0051084","'de novo' post-translational protein folding","2/9","44/18805",0.0454545454545455,94.9747474747475,13.6559894216167,0.000190621395829145,0.0169457832150396,0.0105132615653436,"HSPA6/HSPA1A",2
"GO:0007520","myoblast fusion","2/9","47/18805",0.0425531914893617,88.9125295508274,13.2044433414024,0.000217662033208291,0.0169457832150396,0.0105132615653436,"ADAMTS15/DYRK1B",2
"GO:0006458","'de novo' protein folding","2/9","49/18805",0.0408163265306122,85.2834467120181,12.9265869933862,0.00023667294993072,0.0169457832150396,0.0105132615653436,"HSPA6/HSPA1A",2
"GO:0000768","syncytium formation by plasma membrane fusion","2/9","62/18805",0.032258064516129,67.4014336917563,11.4595458455072,0.000379341873098614,0.017620946178478,0.0109321365588323,"ADAMTS15/DYRK1B",2
"GO:0140253","cell-cell fusion","2/9","62/18805",0.032258064516129,67.4014336917563,11.4595458455072,0.000379341873098614,0.017620946178478,0.0109321365588323,"ADAMTS15/DYRK1B",2
"GO:0006949","syncytium formation","2/9","66/18805",0.0303030303030303,63.3164983164983,11.0972523382168,0.000429868004532827,0.017620946178478,0.0109321365588323,"ADAMTS15/DYRK1B",2
"GO:0034605","cellular response to heat","2/9","67/18805",0.0298507462686567,62.3714759535655,11.0117415512021,0.000442984680464531,0.017620946178478,0.0109321365588323,"HSPA6/HSPA1A",2
"GO:0061077","chaperone-mediated protein folding","2/9","76/18805",0.0263157894736842,54.9853801169591,10.3190406374017,0.000569736500372146,0.0203965667133228,0.0126541475345814,"HSPA6/HSPA1A",2
"GO:0009408","response to heat","2/9","104/18805",0.0192307692307692,40.1816239316239,8.76759225321116,0.00106328348197196,0.0346050442314511,0.0214691688704387,"HSPA6/HSPA1A",2
