"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","regulation","Group","Comparison"
"HSPA6",790.593875830396,2.88240112878951,0.484414630610761,5.95027678077212,2.6768942099933e-09,9.01221050697743e-06,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"HSPA1A",130.65676925822,1.48018974046505,0.268375599411722,5.51536631388853,3.48054232868409e-08,7.81188389326875e-05,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"ADAMTS15",87.6750124553767,1.00785377855327,0.25127569137231,4.01094818622927,6.04753824105627e-05,0.0321474401235096,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"NFKBIB",39.0391489635618,1.83568064695433,0.411443716820465,4.46155955701552,8.13653257895247e-06,0.00714599817803652,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"RUFY1_1",99.2874766825567,1.80253493251239,0.401021172081349,4.49486226165321,6.96149939654946e-06,0.00700180796552282,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"APEX1_1",52.8692146118374,3.09012295257612,0.713828875323253,4.32894081396858,1.49828189045646e-05,0.010809033638293,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"PIP4P1_1",48.9189154327582,2.60295483655732,0.598174620431431,4.35149661595464,1.35211408962699e-05,0.0105048863886404,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"DCAF15_1",39.7816945690318,4.32282440425624,0.716292084633903,6.03500233632433,1.58960387704111e-09,9.01221050697743e-06,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"HSPA1B_1",196.019738424597,1.40263673970956,0.219321932809375,6.39533275009331,1.60198105139565e-10,1.61800086190961e-06,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"PTDSS2_1",89.0589946059918,3.01876547494105,0.606216058881622,4.97968575842452,6.36875981686334e-07,0.00103989223289785,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"PSMB3_1",39.2891355565173,2.46138884321963,0.574607962049405,4.28359682737567,1.83896013930615e-05,0.0128093085565463,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"LSM14A_1",192.546054100105,1.84629248946933,0.390991588111791,4.72207726612637,2.33447955459211e-06,0.00266007753188642,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"TAPBP_1",205.80451033815,1.27998269326761,0.250080388840213,5.11828496110281,3.08326512110395e-07,0.000566199594966362,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"HSPA1B_3",67.3148663839386,1.66866208478131,0.335741195625685,4.97008441776589,6.69237575627328e-07,0.00103989223289785,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
"HSPA1B_4",43.8394373486733,2.66947436721319,0.483154235692349,5.52509772244446,3.29302269243785e-08,7.81188389326875e-05,TRUE,"Up","Group3_WT_None_vs_AHT_None","AHT_None vs WT_None"
