"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","3/6","112/9392",0.0267857142857143,41.9285714285714,11.0167344201073,3.21691822428844e-05,0.00107479236693227,0.000614167066818443,"NFKBIB/HSPA6/HSPA1A",3
"Human Diseases","Infectious disease: viral","hsa05162","Measles","3/6","139/9392",0.0215827338129496,33.7841726618705,9.84513368933364,6.14167066818443e-05,0.00107479236693227,0.000614167066818443,"NFKBIB/HSPA6/HSPA1A",3
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","2/6","56/9392",0.0357142857142857,55.9047619047619,10.4187321969991,0.000515825933640416,0.0055327374801094,0.00316156427434823,"HSPA6/HSPA1A",2
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","2/6","62/9392",0.032258064516129,50.494623655914,9.88562927424241,0.000632312854869646,0.0055327374801094,0.00316156427434823,"HSPA6/HSPA1A",2
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","2/6","81/9392",0.0246913580246914,38.6502057613169,8.60405089422683,0.00107754303823902,0.00754280126767311,0.00431017215295606,"HSPA6/HSPA1A",2
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","2/6","139/9392",0.0143884892086331,22.5227817745803,6.46332198535362,0.00313736471953979,0.0183012941973154,0.010457882398466,"HSPA6/HSPA1A",2
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","2/6","171/9392",0.0116959064327485,18.307992202729,5.77493373961601,0.00471131622410137,0.0235565811205068,0.0134609034974325,"HSPA6/HSPA1A",2
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","2/6","216/9392",0.00925925925925926,14.4938271604938,5.07255292198762,0.00743005009424838,0.0325064691623367,0.018575125235621,"HSPA6/HSPA1A",2
"Genetic Information Processing","Transcription","hsa03040","Spliceosome","2/6","235/9392",0.00851063829787234,13.3219858156028,4.83647891853831,0.00875016995389003,0.0340284387095723,0.0194448221197556,"HSPA6/HSPA1A",2
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","2/6","252/9392",0.00793650793650794,12.4232804232804,4.64739173408853,0.0100158485209106,0.035055469823187,0.0200316970418212,"HSPA6/HSPA1A",2
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","2/6","278/9392",0.00719424460431655,11.2613908872902,4.39101972358637,0.0121030206951151,0.0385096113026389,0.0220054921729365,"HSPA6/HSPA1A",2
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","2/6","300/9392",0.00666666666666667,10.4355555555556,4.199423366528,0.0140092102175448,0.040860196467839,0.023348683695908,"HSPA6/HSPA1A",2
