"","AHT_CIM7_R3","AHT_CIM7_R2","AHT_CIM7_R1","AHT_None_R3","AHT_None_R2","AHT_None_R1","WT_CIM7_R3","WT_CIM7_R2","WT_CIM7_R1","WT_None_R3","WT_None_R2","WT_None_R1"
"DDX11L1",0,0,0,0,0,0,0,0,0.930277706064615,0,2.28393148043162,0
"WASH7P",175.510789780706,178.198431856739,157.933677368056,145.608045859214,192.435185043694,161.532470517388,200.708022584487,181.680478451267,190.706929743246,188.752520650212,145.029649007408,136.966113050425
"MIR6859-1",0,0,0,0,0,0,0,1.4770770605794,0,0,1.14196574021581,0.681423448012065
"MIR1302-2HG",0,0,0,0,0,0,0,0,0,0,0,0
"MIR1302-2",0,0,0,0,0,0,0,0,0,0,0,0
"FAM138A",0,0,0,0,0,0,0,0,0,0,0,0
"OR4F5",0,0,0,0,0,0,0,0,0,0,0,0
"LOC124903816",0,0,0,0,0,0,0,0,0,0,0,0
"LOC124900384",1.31962999835117,0,2.1342388833521,5.23142679733703,1.29151130901808,2.03185497506148,6.53467980507632,3.69269265144851,1.86055541212923,0.988233092409487,1.14196574021581,4.08854068807239
"LOC729737",9.2374099884582,7.12793727426954,1.06711944167605,6.10333126355986,5.16604523607233,4.06370995012296,3.7341027457579,4.43123118173821,7.44222164851692,3.95293236963795,3.42589722064743,2.72569379204826
"LOC124903814",0,0,0,0,0,0,0,0,0,0,0,0
"DDX11L17",2.63925999670234,1.18798954571159,3.20135832502815,0,0,0,1.86705137287895,0,1.86055541212923,0,2.28393148043162,2.72569379204826
"WASH9P",143.839669820278,106.919059114043,112.047541375985,146.479950325437,103.320904721447,89.4016189027052,109.222505313419,156.570168421417,79.0736050154923,108.705640165044,125.616231423739,85.8593544495202
"MIR6859-2",0,0,0,0,0,0,0,1.4770770605794,0,0,0,0
"LOC127239154",5.27851999340469,8.31592681998113,8.53695553340841,14.8223759257882,7.7490678541085,3.04778246259222,8.40173117795527,2.21561559086911,11.1633324727754,14.8234963861423,11.4196574021581,5.45138758409652
"LOC124903815",0,0,0,0,0,0,0,0,0,0,0,0.681423448012065
"LOC124900618",0,0,0,0,0,0,0,0,0,0,0,0
"LOC112268260",0,0,0,0,0,0,0,0,0,0,0,0
"OR4F29",0,0,0,0,0,0,0,0,0,0,0,0
"LOC100132287",3.95888999505352,3.56396863713477,3.20135832502815,5.23142679733703,5.16604523607233,7.11149241271519,2.80057705931842,6.64684677260732,2.79083311819385,1.97646618481897,9.13572592172648,3.40711724006032
"LOC124904706",0,0,0,0,0,0,0,0,0,0,0,0
"LOC105378947",1.31962999835117,2.37597909142318,0,0,0,0,0,0,0,0,0,0
"LOC101928626",0,0,0,0,0,0,0,0,0,0,0,0
"MIR12136",79.1777999010703,57.0234981941563,119.517377467718,111.603771676523,63.2840541418861,98.5449662904819,57.8785925592474,81.2392383318672,81.8644381336861,56.3292862673408,60.5241842314379,125.38191443422
"OR4F16",5.27851999340469,0,0,0,0,0,0,0,0,1.97646618481897,0,0
"LOC100288069",67.3011299159098,79.5952995626765,55.4902109671547,66.2647394329357,56.8264975967956,54.86008432666,84.9508374659922,76.0694686198393,51.1652738335538,70.1645495610736,68.5179444129486,74.9565792813272
"LINC01409",5.27851999340469,3.56396863713477,4.2684777667042,4.35952233111419,0,1.01592748753074,1.86705137287895,3.69269265144851,4.65138853032308,5.92939855445692,3.42589722064743,4.08854068807239
"LOC124903817",5.27851999340469,4.75195818284636,1.06711944167605,2.61571339866851,6.45755654509041,2.03185497506148,0,2.21561559086911,0,1.97646618481897,5.70982870107905,2.72569379204826
"FAM87B",0,0,0,0,0,4.06370995012296,0.933525686439475,2.95415412115881,1.86055541212923,2.96469927722846,0,4.76996413608445
"LINC00115",26.3925999670234,23.7597909142318,18.1410305084929,15.6942803920111,23.2472035623255,20.3185497506148,30.8063476525027,19.9405403178219,10.2330547667108,30.6352258646941,14.8455546228055,22.4869737843981
"LINC01128",160.994859798843,210.274149590951,177.141827318225,201.409931697475,166.604958863333,232.64739464454,161.499943754029,200.882480238799,196.288595979634,173.92902426407,183.856484174745,195.568529579463
"LOC107984850",0,0,1.06711944167605,0,0,1.01592748753074,0,0,0,0.988233092409487,0,0
"FAM41C",0,0,0,0,0,0,0.933525686439475,0,0.930277706064615,0,0,0
"LOC284600",40.9085299488863,47.5195818284636,23.4766277168731,48.8266501084789,49.0774297426871,20.3185497506148,67.2138494236422,70.8996989078114,19.5358318273569,48.4234215280649,57.0982870107905,24.5312441284343
"LINC02593",17.1551899785652,11.8798954571159,21.342388833521,10.4628535946741,16.7896470172351,6.09556492518445,16.8034623559105,11.8166164846352,10.2330547667108,4.94116546204744,17.1294861032372,8.17708137614478
"LOC107985728",46.187049942291,39.2036550084825,22.4095082751971,15.6942803920111,12.9151130901808,13.2070573378996,35.4739760847,48.0050044688306,29.7688865940677,31.6234589571036,35.4009379466901,22.4869737843981
"SAMD11",563.48200929595,697.349863332703,305.196160319351,261.571339866851,467.527093864546,256.013726857747,605.858170499219,771.772764152738,307.921920707388,569.222261227865,738.851833919629,309.366245397477
"NOC2L",1719.47788785158,1625.16969853346,1755.4114815571,1929.52458375114,1840.40361535077,1760.60233589077,1727.02251991303,1645.46384548546,1921.02346302343,1805.50185983213,1716.37450754436,1777.15235241547
"KLHL17",213.78005973289,209.08616004524,194.215738385041,214.488498690818,184.686117189586,149.341340667019,228.713793177671,231.162559980677,149.774710676403,184.799588280574,173.578792512803,166.948744762956
"PLEKHN1",141.200409823575,163.942557308199,162.20215513476,144.736141392991,153.689845773152,185.914730218126,162.433469440469,183.896094042136,177.683041858342,185.787821372984,138.177854566113,188.754295099342
"PERM1",10.5570399868094,9.50391636569272,4.2684777667042,10.4628535946741,3.87453392705425,8.12741990024593,4.66762843219737,12.5551550149249,4.65138853032308,9.88233092409487,12.5616231423739,7.49565792813271
"HES4",1099.25178862653,1445.78327713101,1119.40829431818,622.539788883106,1136.52995193591,991.545227830003,1332.14115454913,1596.72030248634,1195.40685229303,1286.67948631715,1458.29025025559,1275.62469467859
"ISG15",12438.8323644581,16301.5925462544,14204.4268881499,6308.22881312223,12734.3015069183,13857.2509299193,15134.3184285568,15659.2324577325,13872.3011528355,13041.712120528,14010.7776667078,17665.9028897128
